City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,14.33,74,0,3.94,ZA,1741666978
1,pacasmayo,-7.4006,-79.5714,23.5,76,99,5.16,PE,1741666979
2,ishpeming,46.4885,-87.6676,9.52,82,82,6.2,US,1741666980
3,tolanaro,-25.0319,46.9987,25.04,88,40,4.12,MG,1741666981
4,port-aux-francais,-49.35,70.2167,9.18,92,99,18.07,TF,1741666983
5,pariaman,-0.619,100.12,31.03,69,69,3.28,ID,1741666984
6,waitangi,-43.9535,-176.5597,16.57,76,0,2.68,NZ,1741666985
7,guerrero negro,27.9769,-114.0611,14.82,71,0,4.27,MX,1741666986
8,port alfred,-33.5906,26.891,16.21,95,46,3.15,ZA,1741666987
9,flying fish cove,-10.4217,105.6791,29.82,79,91,3.09,CX,1741666988
10,grytviken,-54.2811,-36.5092,4.1,88,84,4.67,GS,1741666989
11,polyarnyy,69.1989,33.4478,-11.22,97,23,4.65,RU,1741666991
12,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,27,0,9.0,RU,1741666992
13,adamstown,-25.066,-130.1015,24.12,57,69,7.23,PN,1741666993
14,edinburgh of the seven seas,-37.0676,-12.3116,19.11,92,17,7.14,SH,1741666994
15,afaahiti,-17.75,-149.2833,26.88,80,99,7.38,PF,1741666995
16,olonkinbyen,70.9221,-8.7187,-6.62,69,87,10.42,SJ,1741666996
17,jamestown,42.097,-79.2353,8.8,60,0,3.09,US,1741666986
18,guarapari,-20.6667,-40.4975,23.94,85,71,3.68,BR,1741666991
19,port shepstone,-30.7414,30.455,22.68,80,100,2.36,ZA,1741666795
20,uturoa,-16.7333,-151.4333,28.37,76,35,7.29,PF,1741667001
21,jayapura,-2.5333,140.7,33.66,63,60,3.05,ID,1741667002
22,pyapon,16.2833,95.6833,35.35,31,9,3.27,MM,1741667003
23,salinas,36.6777,-121.6555,12.5,65,0,2.57,US,1741666796
24,herat,34.5,62.0,13.57,75,100,2.03,AF,1741667006
25,longyearbyen,78.2186,15.6401,-19.09,92,0,5.14,SJ,1741667007
26,saipan,15.1355,145.701,28.14,80,75,7.2,MP,1741667008
27,west island,-12.1568,96.8225,29.99,79,100,4.12,CC,1741667009
28,blackmans bay,-43.0167,147.3167,19.07,58,19,1.79,AU,1741667010
29,geraldton,-28.7667,114.6,32.23,31,0,3.09,AU,1741667012
30,margaret river,-33.95,115.0667,26.47,45,0,4.03,AU,1741667013
31,altai,46.3722,96.2583,-9.23,45,27,2.41,MN,1741667014
32,haiku-pauwela,20.9219,-156.3051,21.39,87,100,6.71,US,1741667015
33,east london,-33.0153,27.9116,19.52,94,100,1.03,ZA,1741667016
34,albany,42.6001,-73.9662,3.0,71,8,0.89,US,1741666774
35,namibe,-15.1961,12.1522,24.32,85,100,1.58,AO,1741666934
36,bethel,41.3712,-73.414,6.99,69,3,0.39,US,1741667020
37,susuman,62.7833,148.1667,-21.92,80,77,1.13,RU,1741667021
38,stanley,54.868,-1.6985,1.39,92,100,4.63,GB,1741666962
39,puerto natales,-51.7236,-72.4875,6.54,85,87,4.88,CL,1741667023
40,carnarvon,-24.8667,113.6333,26.34,65,7,4.32,AU,1741667024
41,klyuchi,52.2667,79.1667,-4.25,93,100,4.84,RU,1741667025
42,minna,9.6139,6.5569,26.84,78,0,2.06,NG,1741667027
43,alo,6.5486,4.2686,27.25,85,66,2.71,NG,1741667028
44,fereydun kenar,36.6864,52.5225,10.91,75,23,1.11,IR,1741667029
45,udachny,66.4167,112.4,-21.31,81,97,2.18,RU,1741667030
46,bouar,5.934,15.596,21.05,28,94,1.87,CF,1741666898
47,gurupa,-1.405,-51.64,22.07,99,100,1.13,BR,1741667032
48,talnakh,69.4865,88.3972,-24.62,81,91,3.01,RU,1741666740
49,kodiak,57.79,-152.4072,0.73,80,100,9.26,US,1741667035
50,ust'-ilimsk,58.0006,102.6619,-6.98,85,100,2.32,RU,1741667036
51,puerto aysen,-45.4,-72.7,3.34,97,33,1.71,CL,1741667037
52,zabid,14.1951,43.3152,25.23,80,97,2.8,YE,1741667038
53,twon-brass,4.3151,6.2418,28.22,81,48,4.41,NG,1741667039
54,nacala,-14.5428,40.6728,26.12,92,100,6.36,MZ,1741667040
55,nuku'alofa,-21.1333,-175.2,27.19,78,75,3.6,TO,1741667041
56,rouissat,31.9243,5.3502,16.04,39,0,2.57,DZ,1741667043
57,nova sintra,14.8667,-24.7167,21.49,77,91,8.82,CV,1741667044
58,noosa heads,-26.3833,153.15,25.33,68,96,4.14,AU,1741667045
59,santiago del estero,-27.7951,-64.2615,23.15,49,45,1.46,AR,1741667046
60,cadale,2.7603,46.3222,27.12,86,83,4.48,SO,1741667047
61,yinchuan,38.4681,106.2731,8.57,15,99,3.3,CN,1741667048
62,toliara,-23.35,43.6667,25.42,79,46,3.47,MG,1741667049
63,klaksvik,62.2266,-6.589,5.52,76,86,14.04,FO,1741667051
64,ushuaia,-54.8,-68.3,7.81,76,40,11.32,AR,1741667052
65,mount isa,-20.7333,139.5,37.87,32,75,2.06,AU,1741667039
66,dame-marie,18.5667,-74.4167,24.35,87,14,2.12,HT,1741667054
67,sao raimundo nonato,-9.0153,-42.6994,24.66,68,99,1.25,BR,1741667055
68,kapa'a,22.0752,-159.319,23.18,83,20,8.23,US,1741667056
69,enewetak,11.3474,162.3373,26.89,75,43,7.83,MH,1741667057
70,camana,-16.6228,-72.7111,22.11,82,69,1.82,PE,1741667059
71,dalhart,36.0595,-102.5133,7.01,39,0,4.63,US,1741667060
72,mineiros,-17.5694,-52.5511,19.95,81,73,0.36,BR,1741666986
73,xichang,27.8964,102.2634,20.51,28,0,1.71,CN,1741667062
74,choibalsan,48.0667,114.5,1.32,49,100,7.44,MN,1741667063
75,nabire,-3.3667,135.4833,28.5,69,100,2.0,ID,1741667064
76,kirensk,57.7853,108.1119,-7.92,87,100,0.91,RU,1741667065
77,key west,24.5557,-81.7826,22.0,72,40,6.71,US,1741667066
78,colonia,50.9333,6.95,5.53,82,99,1.38,DE,1741667009
79,boyolangu,-8.1181,111.8935,30.18,65,100,1.81,ID,1741667069
80,fauske,67.2588,15.3918,-12.16,88,74,3.01,NO,1741667070
81,ad dawadimi,24.5077,44.3924,13.64,52,0,2.8,SA,1741667071
82,yarmouth,41.7057,-70.2286,4.19,79,0,2.06,US,1741667072
83,itoman,26.1247,127.6694,25.43,75,20,2.57,JP,1741667073
84,hawaiian paradise park,19.5933,-154.9731,22.15,90,100,3.09,US,1741667074
85,atafu village,-8.5421,-172.5159,28.16,76,16,5.21,TK,1741667076
86,isafjordur,66.0755,-23.124,2.32,94,99,2.91,IS,1741667077
87,invercargill,-46.4,168.35,13.34,88,77,5.81,NZ,1741667078
88,taoudenni,22.6783,-3.9836,21.22,24,18,3.78,ML,1741667079
89,la passe,45.5549,-0.8967,8.08,88,71,3.9,FR,1741667080
90,sabang,5.8933,95.3214,28.6,74,86,3.38,ID,1741667082
91,codrington,-38.2667,141.9667,35.05,27,81,2.3,AU,1741667083
92,woolgoolga,-30.1106,153.2007,23.93,68,62,4.84,AU,1741667084
93,puerto ayora,-0.7393,-90.3518,24.75,100,100,1.67,EC,1741667085
94,veinticinco de mayo,-35.4323,-60.1727,17.21,81,1,1.79,AR,1741667086
95,tiksi,71.6872,128.8694,-23.93,91,22,1.91,RU,1741667087
96,broome,42.2506,-75.833,4.79,71,12,1.75,US,1741667048
97,anshun,26.25,105.9333,16.5,69,63,6.78,CN,1741666861
98,kalmunai,7.4167,81.8167,27.41,81,100,5.4,LK,1741667091
99,nemuro,43.3236,145.575,2.8,82,20,10.37,JP,1741667092
100,saiki,32.95,131.9,13.4,84,97,1.85,JP,1741667093
101,lospalos,-8.5186,127.0025,28.64,69,100,0.11,TL,1741667094
102,punta arenas,-53.15,-70.9167,8.06,76,0,3.6,CL,1741667006
103,garbahaarrey,3.3289,42.2209,27.08,69,86,5.74,SO,1741667096
104,ilulissat,69.2167,-51.1,2.01,80,100,2.57,GL,1741667097
105,port mathurin,-19.6833,63.4167,27.17,75,87,5.06,MU,1741667099
106,sao vicente,-23.9631,-46.3919,23.88,26,85,2.63,BR,1741667100
107,usogorsk,63.4106,48.6872,-13.25,99,100,1.88,RU,1741667101
108,qaqortoq,60.7167,-46.0333,-3.99,73,1,3.55,GL,1741667102
109,kargil,34.5667,76.1,-7.0,90,100,2.05,IN,1741667103
110,laguna,38.421,-121.4238,15.08,59,0,4.63,US,1741667104
111,hasaki,35.7333,140.8333,13.2,53,63,6.72,JP,1741667105
112,gebeit,21.0667,36.3167,12.92,58,0,1.39,SD,1741667107
113,avarua,-21.2078,-159.775,29.03,84,75,4.12,CK,1741667108
114,papatowai,-46.5619,169.4708,14.55,90,75,5.38,NZ,1741667109
115,ribeira grande,38.5167,-28.7,16.54,96,100,5.36,PT,1741667110
116,wailua homesteads,22.0669,-159.378,22.44,83,20,8.23,US,1741667112
117,howrah,22.5892,88.3103,30.0,39,0,4.12,IN,1741667113
118,tralee,52.2704,-9.7026,6.91,84,81,3.86,IE,1741667114
119,karaman,37.0833,33.25,7.06,66,0,2.76,TR,1741667115
120,fale old settlement,-9.3852,-171.2468,28.4,73,16,4.6,TK,1741667116
121,chonchi,-42.6128,-73.8092,6.73,85,100,1.72,CL,1741667117
122,sampit,-2.5333,112.95,31.3,60,100,1.57,ID,1741667118
123,lompoc,34.6391,-120.4579,12.94,49,100,3.09,US,1741667119
124,vorgashor,67.5833,63.95,-24.65,100,98,2.64,RU,1741666863
125,hualien city,23.9769,121.6044,25.74,83,56,2.95,TW,1741667122
126,alofi,-19.0595,-169.9187,28.94,79,40,3.09,NU,1741667123
127,san cristobal,7.7669,-72.225,22.74,75,85,0.27,VE,1741666846
128,glendive,47.1053,-104.7125,-3.21,80,100,2.06,US,1741667125
129,bilibino,68.0546,166.4372,-19.1,87,65,0.92,RU,1741667126
130,waingapu,-9.6567,120.2641,29.98,69,100,1.44,ID,1741667127
131,constantia,44.1833,28.65,6.38,69,79,3.02,RO,1741667129
132,chorbane,35.2858,10.3858,14.52,87,94,6.94,TN,1741667130
133,saint-joseph,-21.3667,55.6167,27.21,73,3,0.77,RE,1741667131
134,guiuan,11.0333,125.7247,27.72,78,100,6.55,PH,1741667132
135,rizokarpaso,35.6,34.375,14.45,78,0,0.74,CY,1741667133
136,queenstown,-31.8976,26.8753,12.53,92,29,0.8,ZA,1741667118
137,kone,-21.0595,164.8658,26.91,65,97,2.27,NC,1741667135
138,alesund,62.4723,6.1549,1.29,76,100,5.14,NO,1741667137
139,luderitz,-26.6481,15.1594,19.28,63,0,7.31,NA,1741667138
140,hilo,19.7297,-155.09,22.27,99,100,3.13,US,1741667034
141,bel ombre,-4.6167,55.4167,28.91,79,20,2.57,SC,1741667140
142,bakanas,44.8081,76.2772,4.66,63,23,1.66,KZ,1741667141
143,vilyuysk,63.7553,121.6247,-19.3,90,99,1.81,RU,1741667143
144,port alberni,49.2413,-124.8028,4.96,88,100,0.89,CA,1741667144
145,tiruchchendur,8.4833,78.1167,26.16,73,92,9.51,IN,1741667145
146,katsuura,35.1333,140.3,13.41,59,97,6.09,JP,1741667146
147,newman,37.3138,-121.0208,12.24,76,96,1.79,US,1741667147
148,turabah,21.2141,41.6331,17.53,39,3,2.6,SA,1741667148
149,papao,-17.75,-149.55,28.82,78,93,7.72,PF,1741667149
150,kursavka,44.4564,42.5093,5.82,71,99,0.7,RU,1741667151
151,simpang,-1.2667,104.0833,31.45,64,66,1.28,ID,1741667152
152,college,64.8569,-147.8028,-1.01,46,20,5.66,US,1741667153
153,bethanie,-26.4833,17.15,22.46,25,0,1.0,NA,1741667154
154,ancud,-41.8697,-73.8203,7.79,77,61,2.81,CL,1741667000
155,misratah,32.3754,15.0925,21.31,34,80,5.87,LY,1741667156
156,verkhotur'ye,58.8627,60.8054,-14.38,97,89,0.83,RU,1741667157
157,weyburn,49.6668,-103.8511,-11.88,85,63,4.12,CA,1741667159
158,yellowknife,62.456,-114.3525,-25.71,64,0,2.57,CA,1741667160
159,cidreira,-30.1811,-50.2056,21.46,69,1,4.6,BR,1741667161
160,christchurch,-43.5333,172.6333,23.3,55,84,4.12,NZ,1741666962
161,elista,46.3078,44.2558,1.29,100,100,4.0,RU,1741667163
162,touros,-5.1989,-35.4608,25.91,82,98,4.93,BR,1741666948
163,tinogasta,-28.0632,-67.5649,21.59,60,54,1.37,AR,1741667165
164,auki,-8.7676,160.7034,27.97,82,85,3.42,SB,1741667166
165,xilin hot,43.9667,116.0333,6.1,45,99,13.14,CN,1741667168
166,tadine,-21.55,167.8833,25.4,58,98,6.01,NC,1741667169
167,chancay,-11.5714,-77.2672,22.06,84,100,2.63,PE,1741667170
168,usinsk,65.9939,57.5281,-11.94,95,100,6.94,RU,1741667171
169,keflavik,64.0049,-22.5624,4.24,100,100,4.63,IS,1741667172
170,thurso,58.5927,-3.5259,1.14,72,100,8.0,GB,1741667173
171,bredasdorp,-34.5322,20.0403,15.77,70,1,1.37,ZA,1741667175
172,hamilton,39.1834,-84.5333,11.51,50,20,3.6,US,1741667006
173,city of balikpapan,-1.242,116.8942,26.97,94,20,2.57,ID,1741667177
174,mili,6.0815,171.735,27.17,79,87,8.54,MH,1741667178
175,talladega,33.4359,-86.1058,8.27,78,0,0.0,US,1741667179
176,hepingjie,42.0597,126.9158,7.08,49,11,3.65,CN,1741667180
177,badger,64.8,-147.5333,-1.05,47,20,5.66,US,1741667182
178,thompson,55.7435,-97.8558,-21.91,59,0,3.6,CA,1741667115
179,bouarfa,32.53,-1.95,9.73,60,75,1.92,MA,1741667184
180,molde,62.7375,7.1591,-1.09,80,100,2.57,NO,1741667185
181,whitehorse,60.7161,-135.0538,-2.57,92,75,2.06,CA,1741667099
182,iqaluit,63.7506,-68.5145,-18.15,71,75,2.57,CA,1741667187
183,san antonio de pale,-1.4014,5.6325,28.06,84,100,5.47,GQ,1741667188
184,providence,41.824,-71.4128,6.07,68,0,1.54,US,1741666896
185,kamien pomorski,53.9685,14.7726,2.77,95,25,3.92,PL,1741667191
186,zalingei,12.9096,23.4741,20.93,19,92,7.06,SD,1741667192
187,shenjiamen,29.9576,122.298,13.36,87,96,1.99,CN,1741667193
188,san patricio,28.017,-97.5169,12.97,56,0,3.9,US,1741667194
189,saint-pierre,-21.3393,55.4781,27.82,57,0,2.06,RE,1741667195
190,port lincoln,-34.7333,135.8667,25.48,54,74,0.67,AU,1741667196
191,inhambane,-23.865,35.3833,25.99,94,40,0.0,MZ,1741667197
192,molchanovo,57.5817,83.7692,-10.57,89,99,1.23,RU,1741667199
193,illizi,26.4833,8.4667,21.45,27,72,1.74,DZ,1741667200
194,gondar,12.6,37.4667,15.91,42,1,1.8,ET,1741667201
195,nizhniye sergi,56.6614,59.3033,-6.27,93,100,1.55,RU,1741667202
196,fort st. john,56.2499,-120.8529,-5.06,80,75,4.12,CA,1741667203
197,cockburn town,21.4612,-71.1419,25.02,74,0,4.34,TC,1741666910
198,fort bragg,35.139,-79.006,10.91,90,100,4.12,US,1741667205
199,tabou,4.423,-7.3528,25.92,89,97,2.76,CI,1741667207
200,dalbandin,28.8947,64.4101,24.34,29,99,1.57,PK,1741667208
201,aasiaat,68.7098,-52.8699,0.38,91,100,4.37,GL,1741667209
202,port saint john's,-31.6229,29.5448,21.49,88,100,0.73,ZA,1741667210
203,russkaya polyana,49.417,31.9201,5.76,79,100,3.59,UA,1741667211
204,mil'kovo,55.6078,37.7956,6.3,56,100,4.69,RU,1741667212
205,chimichagua,9.2578,-73.8123,26.76,73,29,0.71,CO,1741667213
206,shingu,33.7333,135.9833,11.12,93,100,0.75,JP,1741667214
207,chacabuco,-34.6417,-60.4739,15.47,82,2,3.38,AR,1741667216
208,giyani,-23.3025,30.7187,21.35,88,53,3.16,ZA,1741667217
209,praia da vitoria,38.7333,-27.0667,15.14,88,20,3.15,PT,1741667218
210,porto franco,-6.3383,-47.3992,22.57,98,100,2.15,BR,1741667219
211,hithadhoo,-0.6,73.0833,28.14,66,49,1.74,MV,1741667220
212,akureyri,65.6835,-18.0878,0.96,86,75,1.54,IS,1741666999
213,vershino-darasunskiy,52.35,115.5167,-5.03,78,100,3.68,RU,1741667223
214,anton lizardo,19.05,-95.9833,19.12,64,0,2.28,MX,1741667224
215,chulym,55.0997,80.9572,-7.34,92,100,1.35,RU,1741667225
216,saudarkrokur,65.7461,-19.6394,0.87,93,87,3.63,IS,1741667226
217,saraktash,51.7866,51.7866,-1.12,99,100,3.11,RU,1741667227
218,guanica,17.9716,-66.908,25.77,70,6,3.59,PR,1741667228
219,tsiombe,-25.3,45.4833,25.12,81,2,5.73,MG,1741667229
220,kilifi,-3.6305,39.8499,26.37,85,100,3.18,KE,1741667231
221,maua,-23.6678,-46.4614,22.78,87,100,1.78,BR,1741667205
222,yambio,4.5721,28.3955,20.28,43,100,1.67,SS,1741667233
223,anadyr,64.75,177.4833,-13.72,78,40,1.0,RU,1741667234
224,utrik,11.2278,169.8474,27.02,77,96,8.51,MH,1741667235
225,kayangel,8.0823,134.7173,27.67,80,100,7.52,PW,1741667236
226,devoto,-31.4043,-62.3063,18.1,53,0,1.83,AR,1741667237
227,nadi,-17.8,177.4167,30.0,58,40,4.63,FJ,1741667238
228,canutama,-6.5339,-64.3831,21.74,99,100,0.94,BR,1741667240
229,mangrol,21.1167,70.1167,30.34,36,0,2.67,IN,1741667241
230,st. john's,47.5649,-52.7093,-2.9,69,75,6.17,CA,1741667212
231,vila velha,-20.3297,-40.2925,25.97,78,40,2.57,BR,1741667146
232,balqash,46.8481,74.995,-9.67,92,26,4.0,KZ,1741667244
233,cooper's town,26.8667,-77.5167,21.39,76,53,13.14,BS,1741667245
234,rio grande,-32.035,-52.0986,20.53,70,8,3.67,BR,1741667246
235,el calafate,-50.3408,-72.2768,5.65,68,48,4.4,AR,1741667176
236,roma,43.2128,-75.4557,3.08,68,0,2.57,US,1741667249
237,hotan,37.0997,79.9269,12.83,20,100,1.42,CN,1741667250
238,spirovo,57.419,34.9766,2.36,93,100,3.65,RU,1741667251
239,teknaf,20.8624,92.3058,28.81,29,100,2.68,BD,1741667252
240,rajaori,33.3833,74.3,19.08,42,100,0.71,IN,1741667253
241,aral,40.5156,81.2636,8.59,25,61,3.66,CN,1741667255
242,grossenhain,51.2833,13.55,6.53,80,100,2.38,DE,1741667256
243,port elizabeth,-33.918,25.5701,17.95,81,0,2.57,ZA,1741667257
244,poteau,35.0537,-94.6236,11.88,58,0,2.06,US,1741667258
245,kiunga,-6.1219,141.2906,27.97,87,90,1.71,PG,1741667259
246,bulawayo,-20.15,28.5833,16.88,88,52,5.46,ZW,1741667261
247,qarqaraly,49.4058,75.4742,-8.24,93,92,5.09,KZ,1741667262
248,prineville,44.2999,-120.8345,7.39,66,75,0.0,US,1741667263
249,salamanca,40.8333,-6.0,6.46,93,100,4.24,ES,1741667264
250,kapuskasing,49.4169,-82.4331,-0.95,93,100,4.12,CA,1741667265
251,salinopolis,-0.6136,-47.3561,23.14,91,100,4.07,BR,1741667266
252,kavaratti,10.5669,72.642,28.5,72,89,2.43,IN,1741667267
253,banjar,-8.19,114.9675,31.37,65,96,2.29,ID,1741667269
254,blenheim,-41.516,173.9528,25.28,38,78,1.69,NZ,1741667270
255,saint-louis,16.3333,-15.0,20.16,53,5,4.53,SN,1741667271
256,new norfolk,-42.7826,147.0587,19.4,35,3,3.04,AU,1741667272
257,calliope,-24.0,151.2,27.05,74,75,2.57,AU,1741667273
258,altamira,-3.2033,-52.2064,20.91,99,98,1.26,BR,1741667274
259,zonguldak,41.25,31.8333,8.43,69,41,2.12,TR,1741667276
260,sukumo,32.9333,132.7333,13.87,79,92,0.66,JP,1741667277
261,arkhangel'sk,64.5401,40.5433,-6.94,93,75,4.0,RU,1741667278
262,holdrege,40.4403,-99.3698,13.95,19,0,3.6,US,1741667279
263,sao joao da barra,-21.6403,-41.0511,24.59,91,43,0.95,BR,1741667280
264,iskateley,67.6803,53.1512,-8.34,95,100,4.29,RU,1741667281
265,side,36.7667,31.3885,13.6,75,0,1.23,TR,1741667282
266,tughyl,47.7252,84.2063,-3.16,86,100,3.78,KZ,1741667283
267,akrehamn,59.2667,5.1833,4.14,87,75,4.12,NO,1741667285
268,wanning,18.8003,110.3967,23.36,89,100,2.55,CN,1741667286
269,mendi,-6.1761,143.6513,17.58,93,81,1.72,PG,1741667287
270,kolokani,13.5728,-8.0339,27.57,27,25,2.77,ML,1741667288
271,holualoa,19.6228,-155.9522,21.97,86,75,2.57,US,1741667289
272,lakhnadon,22.6,79.6,28.43,16,0,1.37,IN,1741667290
273,howard springs,-12.497,131.047,32.95,71,99,3.12,AU,1741667292
274,antsiranana,-12.2787,49.2917,25.42,83,40,5.14,MG,1741667293
275,kutum,14.2,24.6667,15.38,26,47,3.47,SD,1741667294
276,as sulayyil,20.4607,45.5779,20.64,43,34,3.32,SA,1741667295
277,hammerfest,70.6634,23.6821,-1.75,93,100,8.23,NO,1741667296
278,khetia,21.6667,74.5833,31.78,20,1,2.48,IN,1741667297
279,egilsstadir,65.2653,-14.3948,0.95,86,75,2.06,IS,1741667299
280,rongelap,11.1635,166.8941,27.18,75,16,7.26,MH,1741667300
281,bamboo flat,11.7,92.7167,30.05,79,40,4.12,IN,1741667301
282,golyshmanovo,56.3979,68.3728,-15.84,100,100,2.35,RU,1741667302
283,mansa,29.9833,75.3833,27.4,17,86,1.86,IN,1741667303
284,shchuchyn,53.6014,24.7465,7.64,86,100,3.15,BY,1741667304
285,sahagun,8.9462,-75.4427,25.79,82,25,4.31,CO,1741667306
286,vilyuchinsk,52.9306,158.4028,-5.85,46,0,3.59,RU,1741667063
287,puerto baquerizo moreno,-0.9,-89.6,26.73,76,97,2.32,EC,1741667308
288,wuxue,29.8506,115.5525,16.24,78,100,2.29,CN,1741667309
289,nadym,65.5333,72.5167,-23.18,92,45,3.49,RU,1741667310
290,la mira,18.035,-102.3266,22.97,84,4,1.37,MX,1741667311
291,cannonvale,-20.2833,148.7,28.66,72,22,4.5,AU,1741667313
